;8;127;10;10
peu;;;;
de;;;;
fatigue;;;;
...;;;;
';;;;
ai;;;;
trop;;;;
travaille;;;;
ces;;;;
derniers;;;;
temps;;;;
...;;;;
Maintenant;;;;
que;;;;
tu;;;;
as;;;;
une;;;;
place;;;;
,;;;;
j';;;;
en;;;;
prendrai;;;;
plus;;;;
a;;;;
mon;;;;
aise;;;;
,;;;;
et;;;;
dans;;;;
huit;;;;
jours;;;;
je;;;;
serai;;;;
gueri;;;;
.;;;;
Il;;;;
disait;;;;
cela;;;;
si;;;;
naturellement;;;;
,;;;;
d';;;;
une;;;;
figure;;;;
si;;;;
riante;;;;
,;;;;
que;;;;
mes;;;;
tristes;;;;
pressentiments;;;;
s';;;;
envolerent;;;;
,;;;;
et;;;;
,;;;;
d';;;;
un;;;;
grand;;;;
mois;;;;
,;;;;
je;;;;
n';;;;
entendis;;;;
plus;;;;
dans;;;;
mon;;;;
cerveau;;;;
le;;;;
battement;;;;
de;;;;
leurs;;;;
ailes;;;;
noires;;;;
...;;;;
Le;;;;
lendemain;;;;
j';;;;
entrai;;;;
a;;;;
l';;;;
institution;;;;
Ouly;;;;
.;;;;
Malgre;;;;
son;;;;
etiquette;;;;
pompeuse;;;;
,;;;;
l';;;;
institution;;;;
Ouly;;;;
etait;;;;
une;;;;
petite;;;;
ecole;;;;
pour;;;;
rire;;;;
,;;;;
tenue;;;;
par;;;;
une;;;;
vieille;;;;
dame;;;;
a;;;;
repentirs;;;;
,;;;;
que;;;;
les;;;;
enfants;;;;
appelaient;;;;
bonne;;;;
amien;;;;
.;;;;
Il;;;;
y;;;;
avait;;;;
la;;;;
dedans;;;;
une;;;;
vingtaine;;;;
de;;;;
petits;;;;
bonshommnes;;;;
,;;;;
mais;;;;
,;;;;
vous;;;;
savez;;;;
.;;;;
des;;;;
tout;;;;
petits;;;;
,;;;;
de;;;;
ceux;;;;
qui;;;;
viennent;;;;
h;;;;
la;;;;
classe;;;;
avec;;;;
leur;;;;
goter;;;;
dans;;;;
un;;;;
panier;;;;
,;;;;
et;;;;
toujours;;;;
un;;;;
bout;;;;
de;;;;
chemise;;;;
qui;;;;
passe;;;;
.;;;;
C';;;;
etaient;;;;
nos;;;;
eleves;;;;
.;;;;
Me;;;;
Ouly;;;;
leur;;;;
apprenait;;;;
des;;;;
cantiques;;;;
	;;;;
moi;;;;
je;;;;
les;;;;
initiais;;;;
aux;;;;
mysteres;;;;
de;;;;
l';;;;
alphabet;;;;
.;;;;
J';;;;
etais;;;;
en;;;;
outre;;;;
charge;;;;
de;;;;
surveiller;;;;
les;;;;
recreations;;;;
,;;;;
dans;;;;
une;;;;
cour;;;;
oi;;;;
il;;;;
y;;;;
avait;;;;
des;;;;
poules;;;;
et;;;;
un;;;;
coq;;;;
d';;;;
Inde;;;;
dont;;;;
ces;;;;
messieurs;;;;
avaient;;;;
grand'peur;;;;
.;;;;
-;;;;
Quelquefois;;;;
aussi;;;;
,;;;;
quand;;;;
a;;;;
bonne;;;;
amien;;;;
avait;;;;
sa;;;;
goutte;;;;
,;;;;
c';;;;
etait;;;;
moi;;;;
qui;;;;
balayais;;;;
la;;;;
classe;;;;
,;;;;
besogne;;;;
bien;;;;
peu;;;;
digne;;;;
d';;;;
un;;;;
surveillant;;;;
general;;;;
,;;;;
et;;;;
que;;;;
pourtant;;;;
je;;;;
faisais;;;;
sans;;;;
degoit;;;;
,;;;;
tant;;;;
je;;;;
me;;;;
sentais;;;;
heureux;;;;
de;;;;
pouvoir;;;;
gagner;;;;
ma;;;;
vie;;;;
...;;;;
Le;;;;
soir;;;;
,;;;;
en;;;;
rentrant;;;;
a;;;;
l';;;;
hotel;;;;
Pilois;;;;
,;;;;
je;;;;
trouvais;;;;
le;;;;
diner;;;;
servi;;;;
et;;;;
la;;;;
mere;;;;
acques;;;;
qui;;;;
m';;;;
attendait;;;;
...;;;;
Apres;;;;
diner;;;;
,;;;;
quelques;;;;
tours;;;;
de;;;;
jardin;;;;
faits;;;;
a;;;;
grands;;;;
pas;;;;
,;;;;
puis;;;;
la;;;;
veillee;;;;
au;;;;
coin;;;;
du;;;;
feu;;;;
...;;;;
Voila;;;;
toute;;;;
notre;;;;
vie;;;;
...;;;;
De;;;;
temps;;;;
en;;;;
temps;;;;
,;;;;
on;;;;
recevait;;;;
une;;;;
lettre;;;;
de;;;;
M.;;;;
ou;;;;
Me;;;;
Eyssette;;;;
	;;;;
c';;;;
etaient;;;;
nos;;;;
grand;;;;
evenements;;;;
.;;;;
Mme;;;;
Eyssette;;;;
continuait;;;;
a;;;;
vivre;;;;
chez;;;;
l';;;;
oncle;;;;
Baptiste;;;;
	;;;;
M.;;;;
Eyssette;;;;
voyageait;;;;
toujours;;;;
pour;;;;
la;;;;
Compagnie;;;;
vinicole;;;;
.;;;;
Les;;;;
affaires;;;;
n';;;;
allaient;;;;
pas;;;;
trop;;;;
mal;;;;
.;;;;
Les;;;;
dettes;;;;
de;;;;
Lyon;;;;
etaient;;;;
aux;;;;
trois;;;;
quarts;;;;
payees;;;;
.;;;;
Dans;;;;
un;;;;
an;;;;
ou;;;;
deux;;;;
,;;;;
tout;;;;
serait;;;;
regle;;;;
,;;;;
et;;;;
on;;;;
pourrait;;;;
songer;;;;
a;;;;
se;;;;
remettre;;;;
tous;;;;
ensemble;;;;
...;;;;
LE;;;;
REvE;;;;
a33;;;;
Moi;;;;
,;;;;
j';;;;
etais;;;;
d';;;;
avis;;;;
,;;;;
en;;;;
attendant;;;;
,;;;;
de;;;;
faire;;;;
venir;;;;
Mme;;;;
Eyssette;;;;
h;;;;
l';;;;
hotel;;;;
Pilois;;;;
avec;;;;
nous;;;;
,;;;;
mais;;;;
Jacques;;;;
ne;;;;
voulait;;;;
pas;;;;
.;;;;
Nonl;;;;
pas;;;;
encore;;;;
,;;;;
disait;;;;
-il;;;;
d';;;;
un;;;;
air;;;;
singulier;;;;
,;;;;
pas;;;;
encore;;;;
...;;;;
Attendons;;;;
ln;;;;
Et;;;;
cette;;;;
reponse;;;;
,;;;;
toujours;;;;
la;;;;
meme;;;;
,;;;;
me;;;;
brisait;;;;
le;;;;
ceur;;;;
.;;;;
e;;;;
me;;;;
disais;;;;
:;;;;
aIl;;;;
se;;;;
mefie;;;;
de;;;;
moi;;;;
...;;;;
Il;;;;
a;;;;
peur;;;;
que;;;;
je;;;;
fasse;;;;
encore;;;;
quelque;;;;
folie;;;;
quand;;;;
Mmee;;;;
Eyssette;;;;
sera;;;;
ici;;;;
...;;;;
C';;;;
est;;;;
pour;;;;
cela;;;;
qu';;;;
il;;;;
veut;;;;
attendre;;;;
encore;;;;
...;;;;
Je;;;;
me;;;;
trompais;;;;
...;;;;
Ce;;;;
n';;;;
etait;;;;
pas;;;;
pour;;;;
cela;;;;
que;;;;
acques;;;;
disait;;;;
:;;;;
a;;;;
AttendonslnYV;;;;
Lecteur;;;;
,;;;;
si;;;;
tu;;;;
as;;;;
un;;;;
esprit;;;;
fort;;;;
,;;;;
si;;;;
les;;;;
reves;;;;
te;;;;
font;;;;
sourire;;;;
,;;;;
si;;;;
tu;;;;
n';;;;
as;;;;
jamais;;;;
eu;;;;
le;;;;
ceur;;;;
mordu;;;;
-;;;;
mordu;;;;
jusqu';;;;
a;;;;
crier;;;;
-;;;;
par;;;;
le;;;;
pres-;;;;
sentiment;;;;
des;;;;
choses;;;;
futures;;;;
,;;;;
si;;;;
tu;;;;
es;;;;
un;;;;
homme;;;;
positif;;;;
,;;;;
une;;;;
de;;;;
ces;;;;
tetes;;;;
de;;;;
fer;;;;
que;;;;
la;;;;
realite;;;;
seule;;;;
impressionne;;;;
et;;;;
qui;;;;
ne;;;;
laissent;;;;
pas;;;;
trainer;;;;
un;;;;
grain;;;;
de;;;;
superstition;;;;
dans;;;;
leur;;;;
cerveau;;;;
,;;;;
si;;;;
tu;;;;
ne;;;;
veux;;;;
en;;;;
aucun;;;;
cas;;;;
croire;;;;
au;;;;
surnaturel;;;;
,;;;;
admettre;;;;
l';;;;
inexplicable;;;;
,;;;;
n';;;;
acheve;;;;
pas;;;;
de;;;;
lire;;;;
ces;;;;
memoires;;;;
.;;;;
Ce;;;;
qui;;;;
me;;;;
reste;;;;
a;;;;
dire;;;;
en;;;;
ces;;;;
derniers;;;;
chapitres;;;;
est;;;;
vrai;;;;
comme;;;;
la;;;;
verite;;;;
cruelle;;;;
	;;;;
mais;;;;
tu;;;;
ne;;;;
le;;;;
croiras;;;;
pas;;;;
.;;;;
C';;;;
etait;;;;
le;;;;
decembre;;;;
...;;;;
Je;;;;
revenais;;;;
de;;;;
l';;;;
institution;;;;
Ouly;;;;
encore;;;;
plus;;;;
vite;;;;
que;;;;
d';;;;
ordinaire;;;;
.;;;;
Le;;;;
matin;;;;
,;;;;
j';;;;
avais;;;;
laisse;;;;
acques;;;;
a;;;;
la;;;;
maison;;;;
,;;;;
se;;;;
plaignant;;;;
d';;;;
une;;;;
grande;;;;
fatigue;;;;
,;;;;
et;;;;
je;;;;
languissais;;;;
d';;;;
avoir;;;;
de;;;;
ses;;;;
nouvelles;;;;
.;;;;
En;;;;
traversant;;;;
le;;;;
jardin;;;;
,;;;;
je;;;;
me;;;;
jetai;;;;
dans;;;;
les;;;;
jambes;;;;
de;;;;
M.;;;;
Pilois;;;;
,;;;;
debout;;;;
pres;;;;
du;;;;
figuier;;;;
,;;;;
et;;;;
causant;;;;
ha;;;;
voix;;;;
basse;;;;
avec;;;;
un;;;;
gros;;;;
personnage;;;;
court;;;;
et;;;;
pattu;;;;
,;;;;
qui;;;;
paraissait;;;;
avoir;;;;
beaucoup;;;;
de;;;;
peine;;;;
a;;;;
boutonner;;;;
ses;;;;
gants;;;;
.;;;;
Je;;;;
voulais;;;;
m';;;;
excuser;;;;
et;;;;
passer;;;;
outre;;;;
,;;;;
mais;;;;
l';;;;
h6telier;;;;
me;;;;
retint;;;;
:;;;;
-;;;;
Un;;;;
mot;;;;
,;;;;
monsieur;;;;
Daniell;;;;
Puis;;;;
,;;;;
se;;;;
tournant;;;;
vers;;;;
l';;;;
autre;;;;
,;;;;
il;;;;
ajouta;;;;
:;;;;
-;;;;
C';;;;
est;;;;
le;;;;
jeune;;;;
homme;;;;
en;;;;
question;;;;
.;;;;
Je;;;;
crois;;;;
que;;;;
vous;;;;
feriez;;;;
bien;;;;
de;;;;
le;;;;
prevenir;;;;
...;;;;
zg6;;;;
LE;;;;
PETIT;;;;
CHOSE;;;;
Je;;;;
m';;;;
arretai;;;;
fort;;;;
intrigue;;;;
.;;;;
De;;;;
quoi;;;;
ce;;;;
gros;;;;
bonhomme;;;;
voulait;;;;
-il;;;;
me;;;;
prevenir;;;;
Que;;;;
ses;;;;
gants;;;;
etaient;;;;
beaucoup;;;;
trop;;;;
etroits;;;;
pour;;;;
ses;;;;
pattes;;;;
?;;;;
e;;;;
le;;;;
voyais;;;;
bien;;;;
,;;;;
parbleul;;;;
...;;;;
Il;;;;
y;;;;
eut;;;;
un;;;;
moment;;;;
de;;;;
silence;;;;
et;;;;
de;;;;
gene;;;;
.;;;;
M.;;;;
Pilois;;;;
,;;;;
le;;;;
nez;;;;
en;;;;
l';;;;
air;;;;
,;;;;
regardait;;;;
dans;;;;
son;;;;
figuier;;;;
comme;;;;
pour;;;;
y;;;;
chercher;;;;
les;;;;
figues;;;;
qui;;;;
n';;;;
y;;;;
etaient;;;;
pas;;;;
.;;;;
L';;;;
homme;;;;
aux;;;;
gants;;;;
tirait;;;;
toujours;;;;
sur;;;;
ses;;;;
boutonnieres;;;;
...;;;;
A;;;;
la;;;;
fin;;;;
,;;;;
pourtant;;;;
,;;;;
il;;;;
se;;;;
decida;;;;
a;;;;
parler;;;;
	;;;;
mais;;;;
sans;;;;
lacher;;;;
son;;;;
bouton;;;;
,;;;;
n';;;;
ayez;;;;
pas;;;;
peur;;;;
.;;;;
-;;;;
Monsieur;;;;
,;;;;
me;;;;
dit;;;;
-il;;;;
,;;;;
je;;;;
suis;;;;
depuis;;;;
vingt;;;;
ans;;;;
medecin;;;;
de;;;;
l';;;;
hotel;;;;
Pilois;;;;
,;;;;
et;;;;
j';;;;
ose;;;;
affirmer;;;;
..;;;;
e;;;;
ne;;;;
le;;;;
laissai;;;;
pas;;;;
achever;;;;
sa;;;;
phrase;;;;
.;;;;
Ce;;;;
mot;;;;
de;;;;
medecin;;;;
m';;;;
avait;;;;
tout;;;;
appris;;;;
,;;;;
Vous;;;;
venez;;;;
pour;;;;
mon;;;;
frere;;;;
,;;;;
lui;;;;
demandai;;;;
-je;;;;
en;;;;
tremblant;;;;
...;;;;
Il;;;;
est;;;;
bien;;;;
malade;;;;
,;;;;
n';;;;
est;;;;
-ce;;;;
paskn;;;;
Je;;;;
ne;;;;
crois;;;;
pas;;;;
que;;;;
ce;;;;
medecin;;;;
fut;;;;
un;;;;
mechant;;;;
homme;;;;
,;;;;
mais;;;;
,;;;;
ce;;;;
moment;;;;
-;;;;
lh;;;;
,;;;;
c';;;;
etaient;;;;
ses;;;;
gants;;;;
surtout;;;;
qui;;;;
le;;;;
preoccupaient;;;;
,;;;;
et;;;;
sans;;;;
songer;;;;
qu';;;;
il;;;;
parlait;;;;
a;;;;
l';;;;
enfant;;;;
de;;;;
Jacques;;;;
,;;;;
sans;;;;
essayer;;;;
d';;;;
amortir;;;;
le;;;;
coup;;;;
,;;;;
il;;;;
me;;;;
repondit;;;;
brutalement;;;;
:;;;;
aS';;;;
il;;;;
est;;;;
maladel;;;;
je;;;;
crois;;;;
bien;;;;
...;;;;
Il;;;;
ne;;;;
passera;;;;
pas;;;;
la;;;;
nuit;;;;
.;;;;
Ce;;;;
fut;;;;
bien;;;;
assene;;;;
,;;;;
je;;;;
vous;;;;
en;;;;
reponds;;;;
.;;;;
La;;;;
maison;;;;
,;;;;
le;;;;
jardin;;;;
,;;;;
M.;;;;
Pilois;;;;
,;;;;
le;;;;
medecin;;;;
,;;;;
je;;;;
vis;;;;
tout;;;;
tourner;;;;
.;;;;
Je;;;;
fus;;;;
oblige;;;;
de;;;;
m';;;;
appuyer;;;;
contre;;;;
le;;;;
figuier;;;;
.;;;;
Il;;;;
avait;;;;
le;;;;
poignet;;;;
rude;;;;
,;;;;
le;;;;
docteur;;;;
de;;;;
l';;;;
hotel;;;;
Piloisl;;;;
...;;;;
Du;;;;
reste;;;;
,;;;;
il;;;;
ne;;;;
s';;;;
apercut;;;;
de;;;;
rien;;;;
et;;;;
continua;;;;
avec;;;;
le;;;;
plus;;;;
grand;;;;
calme;;;;
,;;;;
sans;;;;
cesser;;;;
de;;;;
boutonner;;;;
ses;;;;
gants;;;;
:;;;;
a;;;;
C';;;;
est;;;;
un;;;;
cas;;;;
foudroyant;;;;
de;;;;
phtisic;;;;
galopante;;;;
...;;;;
Il;;;;
n';;;;
y;;;;
a;;;;
rien;;;;
a;;;;
faire;;;;
,;;;;
du;;;;
moins;;;;
rien;;;;
de;;;;
serieux;;;;
...;;;;
D';;;;
ailleurs;;;;
on;;;;
m';;;;
a;;;;
prevenu;;;;
beaucoup;;;;
trop;;;;
tard;;;;
,;;;;
comme;;;;
toujours;;;;
.;;;;
-;;;;
Ce;;;;
n';;;;
est;;;;
pas;;;;
ma;;;;
faute;;;;
,;;;;
docteur;;;;
,;;;;
-;;;;
fit;;;;
le;;;;
bon;;;;
M.;;;;
Pilois;;;;
qui;;;;
per-;;;;
sistait;;;;
chercher;;;;
des;;;;
figues;;;;
avec;;;;
la;;;;
plus;;;;
grande;;;;
attention;;;;
,;;;;
un;;;;
moyen;;;;
comme;;;;
un;;;;
autre;;;;
de;;;;
cacher;;;;
ses;;;;
larmes;;;;
,;;;;
-;;;;
ce;;;;
n';;;;
est;;;;
pas;;;;
ma;;;;
faute;;;;
.;;;;
e;;;;
savais;;;;
depuis;;;;
longtemps;;;;
qu';;;;
il;;;;
etait;;;;
malade;;;;
,;;;;
ce;;;;
pauvre;;;;
M.;;;;
Eyssette;;;;
,;;;;
et;;;;
je;;;;
lui;;;;
ai;;;;
souvent;;;;
conseille;;;;
de;;;;
faire;;;;
venir;;;;
quelqu';;;;
un;;;;
	;;;;
mais;;;;
il;;;;
ne;;;;
voulait;;;;
jamais;;;;
.;;;;
Bien;;;;
sur;;;;
qu';;;;
il;;;;
avait;;;;
peur;;;;
d';;;;
effrayer;;;;
son;;;;
frere;;;;
...;;;;
C';;;;
dtait;;;;
si;;;;
uni;;;;
,;;;;
voyez;;;;
-;;;;
vousl;;;;
ces;;;;
enfants;;;;
-;;;;
lal;;;;
Un;;;;
sanglot;;;;
desespere;;;;
me;;;;
jaillit;;;;
du;;;;
fond;;;;
des;;;;
entrailles;;;;
.;;;;
-;;;;
Allonsl;;;;
mon;;;;
gargcon;;;;
,;;;;
du;;;;
couragel;;;;
me;;;;
dit;;;;
l';;;;
homme;;;;
aux;;;;
gants;;;;
d';;;;
un;;;;
air;;;;
de;;;;
bonte;;;;
...;;;;
Qui;;;;
sait;;;;
?;;;;
la;;;;
science;;;;
a;;;;
prononce;;;;
son;;;;
dernier;;;;
mot;;;;
,;;;;
mais;;;;
la;;;;
nature;;;;
pas;;;;
encore;;;;
...;;;;
Je;;;;
reviendrai;;;;
demain;;;;
matin;;;;
.;;;;
La;;;;
-;;;;
dessus;;;;
,;;;;
il;;;;
fit;;;;
une;;;;
pirouette;;;;
et;;;;
s';;;;
eloigna;;;;
avec;;;;
un;;;;
soupir;;;;
de;;;;
satis-;;;;
faction;;;;
	;;;;
il;;;;
venait;;;;
d';;;;
en;;;;
boutonner;;;;
unla37;;;;
Je;;;;
restai;;;;
encore;;;;
un;;;;
moment;;;;
dehors;;;;
,;;;;
pour;;;;
essuyer;;;;
mes;;;;
ycux;;;;
et;;;;
me;;;;
calmer;;;;
un;;;;
peu;;;;
	;;;;
puis;;;;
,;;;;
faisant;;;;
appel;;;;
a;;;;
tout;;;;
mon;;;;
courage;;;;
,;;;;
j';;;;
entrai;;;;
dans;;;;
notre;;;;
chambre;;;;
d';;;;
un;;;;
air;;;;
delibere;;;;
.;;;;
Ce;;;;
que;;;;
je;;;;
vis;;;;
,;;;;
en;;;;
ouvrant;;;;
la;;;;
porte;;;;
,;;;;
me;;;;
terrifia;;;;
.;;;;
acques;;;;
,;;;;
pour;;;;
me;;;;
laisser;;;;
le;;;;
lit;;;;
,;;;;
sans;;;;
doute;;;;
,;;;;
s';;;;
etait;;;;
fait;;;;
mettre;;;;
un;;;;
matelas;;;;
sur;;;;
le;;;;
canape;;;;
,;;;;
et;;;;
c';;;;
est;;;;
la;;;;
que;;;;
je;;;;
le;;;;
trouvai;;;;
,;;;;
pale;;;;
,;;;;
horriblement;;;;
pale;;;;
,;;;;
tout;;;;
a;;;;
fait;;;;
semblable;;;;
au;;;;
Jacques;;;;
de;;;;
mon;;;;
reve;;;;
.;;;;
Ma;;;;
premiere;;;;
idee;;;;
fut;;;;
de;;;;
me;;;;
jeter;;;;
sur;;;;
lui;;;;
,;;;;
de;;;;
le;;;;
prendre;;;;
dans;;;;
mes;;;;
bras;;;;
et;;;;
de;;;;
le;;;;
porter;;;;
sur;;;;
son;;;;
lit;;;;
,;;;;
n';;;;
importe;;;;
ou;;;;
,;;;;
mais;;;;
de;;;;
l';;;;
enlever;;;;
de;;;;
la;;;;
,;;;;
mon;;;;
Dieu;;;;
,;;;;
de;;;;
l';;;;
enlever;;;;
de;;;;
la;;;;
.;;;;
Puis;;;;
,;;;;
tout;;;;
de;;;;
suite;;;;
,;;;;
je;;;;
fis;;;;
cette;;;;
reflexion;;;;
:;;;;
Tu;;;;
ne;;;;
pourras;;;;
pas;;;;
,;;;;
il;;;;
est;;;;
trop;;;;
grandl;;;;
Et;;;;
alors;;;;
,;;;;
ayant;;;;
vu;;;;
ma;;;;
mere;;;;
Jacques;;;;
etendu;;;;
sans;;;;
remission;;;;
a;;;;
cette;;;;
place;;;;
oi;;;;
le;;;;
reve;;;;
avait;;;;
dit;;;;
qu';;;;
il;;;;
devait;;;;
mourir;;;;
,;;;;
mon;;;;
courage;;;;
m';;;;
abandonna;;;;
	;;;;
ce;;;;
masque;;;;
de;;;;
gaiete;;;;
con-;;;;
trainte;;;;
,;;;;
qu';;;;
on;;;;
se;;;;
colle;;;;
au;;;;
visage;;;;
pour;;;;
rassurer;;;;
les;;;;
moribonds;;;;
,;;;;
ne;;;;
put;;;;
pas;;;;
tenir;;;;
sur;;;;
mes;;;;
joues;;;;
,;;;;
et;;;;
je;;;;
vins;;;;
tomber;;;;
a;;;;
genoux;;;;
pres;;;;
du;;;;
canape;;;;
,;;;;
en;;;;
versant;;;;
un;;;;
torrent;;;;
de;;;;
larmes;;;;
.;;;;
acques;;;;
se;;;;
tourna;;;;
vers;;;;
moi;;;;
peniblement;;;;
:;;;;
-;;;;
C';;;;
est;;;;
toi;;;;
,;;;;
Daniel;;;;
...;;;;
Tu;;;;
as;;;;
rencontre;;;;
le;;;;
medecin;;;;
,;;;;
n';;;;
est;;;;
-ce;;;;
pas;;;;
i;;;;
Je;;;;
lui;;;;
avais;;;;
pourtant;;;;
bien;;;;
recommande;;;;
de;;;;
ne;;;;
pas;;;;
t';;;;
effrayer;;;;
,;;;;
ace;;;;
gros-;;;;
la;;;;
.;;;;
Mais;;;;
je;;;;
vois;;;;
ton;;;;
air;;;;
qu';;;;
il;;;;
n';;;;
en;;;;
a;;;;
rien;;;;
fait;;;;
et;;;;
que;;;;
tu;;;;
sais;;;;
tout;;;;
..;;;;
Donne;;;;
-moi;;;;
ta;;;;
main;;;;
,;;;;
frerot;;;;
...;;;;
Qui;;;;
diable;;;;
se;;;;
serait;;;;
doute;;;;
d';;;;
une;;;;
chose;;;;
pareille;;;;
Il;;;;
y;;;;
a;;;;
des;;;;
gens;;;;
qui;;;;
vont;;;;
a;;;;
Nice;;;;
pour;;;;
guerir;;;;
leur;;;;
maladie;;;;
de;;;;
poitrine;;;;
	;;;;
moi;;;;
,;;;;
je;;;;
suis;;;;
alle;;;;
en;;;;
chercher;;;;
une;;;;
.;;;;
C';;;;
est;;;;
tout;;;;
a;;;;
fait;;;;
original;;;;
...;;;;
Ahl;;;;
tu;;;;
saisl;;;;
si;;;;
tu;;;;
te;;;;
desoles;;;;
,;;;;
tu;;;;
vas;;;;
m';;;;
enlever;;;;
tout;;;;
mon;;;;
courage;;;;
	;;;;
je;;;;
ne;;;;
suis;;;;
deja;;;;
pas;;;;
si;;;;
vaillant;;;;
...;;;;
Ce;;;;
matin;;;;
,;;;;
apres;;;;
ton;;;;
depart;;;;
,;;;;
j';;;;
ai;;;;
compris;;;;
que;;;;
cela;;;;
se;;;;
gatait;;;;
.;;;;
J';;;;
ai;;;;
envoye;;;;
chercher;;;;
le;;;;
cure;;;;
de;;;;
Saint-Pierre;;;;
	;;;;
il;;;;
cst;;;;
venu;;;;
me;;;;
voir;;;;
et;;;;
reviendra;;;;
tout;;;;
a;;;;
l';;;;
heure;;;;
m';;;;
apporter;;;;
les;;;;
sacrements;;;;
...;;;;
Cela;;;;
fera;;;;
plaisir;;;;
notre;;;;
mere;;;;
,;;;;
tu;;;;
comprendsl;;;;
...;;;;
C';;;;
est;;;;
un;;;;
bon;;;;
homme;;;;
,;;;;
ce;;;;
curd;;;;
...;;;;
Il;;;;
s';;;;
appelle;;;;
comme;;;;
ton;;;;
ami;;;;
du;;;;
college;;;;
de;;;;
Sarlande;;;;
.;;;;
Il;;;;
n';;;;
en;;;;
put;;;;
pas;;;;
dire;;;;
plus;;;;
long;;;;
et;;;;
se;;;;
renversa;;;;
sur;;;;
l';;;;
oreiller;;;;
,;;;;
en;;;;
fer-;;;;
mant;;;;
les;;;;
yeux;;;;
.;;;;
Je;;;;
crus;;;;
qu';;;;
il;;;;
allait;;;;
mourir;;;;
,;;;;
et;;;;
je;;;;
me;;;;
mis;;;;
a;;;;
crier;;;;
bien;;;;
fort;;;;
:;;;;
Jacquesl;;;;
Jacquesl;;;;
mon;;;;
amil;;;;
...;;;;
De;;;;
la;;;;
main;;;;
,;;;;
sans;;;;
parler;;;;
,;;;;
il;;;;
me;;;;
fit;;;;
:;;;;
Chutl;;;;
chutl;;;;
h;;;;
plusieurs;;;;
reprises;;;;
.;;;;
A;;;;
ce;;;;
moment;;;;
,;;;;
la;;;;
porte;;;;
s';;;;
ouvrit;;;;
,;;;;
M.;;;;
Pilois;;;;
entra;;;;
dans;;;;
la;;;;
chambre;;;;
suivi;;;;
d';;;;
un;;;;
gros;;;;
homme;;;;
qui;;;;
roula;;;;
comme;;;;
une;;;;
boule;;;;
vers;;;;
le;;;;
canape;;;;
en;;;;
criant;;;;
:;;;;
aQu';;;;
est;;;;
-ce;;;;
que;;;;
j';;;;
apprends;;;;
,;;;;
monsieur;;;;
Jacques;;;;
...;;;;
C';;;;
est;;;;
bien;;;;
le;;;;
cas;;;;
de;;;;
le;;;;
dire;;;;
...;;;;
-;;;;
Bonjour;;;;
,;;;;
Pierrottel;;;;
dit;;;;
acques;;;;
en;;;;
rouvrant;;;;
les;;;;
yeux;;;;
	;;;;
bonjour;;;;
,;;;;
a8;;;;
LE;;;;
PETIT;;;;
CHOSE;;;;
mon;;;;
vieil;;;;
amil;;;;
';;;;
etais;;;;
bien;;;;
sr;;;;
que;;;;
vous;;;;
viendriez;;;;
au;;;;
premier;;;;
signe;;;;
...;;;;
Laisse;;;;
-;;;;
le;;;;
mettre;;;;
la;;;;
,;;;;
Daniel;;;;
:;;;;
nous;;;;
avons;;;;
a;;;;
causer;;;;
tous;;;;
les;;;;
deux;;;;
.;;;;
Pierrotte;;;;
pencha;;;;
sa;;;;
grosse;;;;
tete;;;;
jusqu';;;;
aux;;;;
levres;;;;
pales;;;;
du;;;;
moribond;;;;
,;;;;
et;;;;
ils;;;;
resterent;;;;
ainsi;;;;
un;;;;
long;;;;
moment;;;;
s';;;;
entretenir;;;;
a;;;;
voix;;;;
basse;;;;
...;;;;
Moi;;;;
,;;;;
je;;;;
regardais;;;;
,;;;;
immobile;;;;
au;;;;
milieu;;;;
de;;;;
la;;;;
chambre;;;;
.;;;;
I';;;;
avais;;;;
encore;;;;
mes;;;;
livres;;;;
sous;;;;
le;;;;
bras;;;;
.;;;;
M;;;;
,;;;;
Pilois;;;;
me;;;;
les;;;;
enleva;;;;
doucement;;;;
,;;;;
en;;;;
me;;;;
disant;;;;
quelque;;;;
chose;;;;
que;;;;
je;;;;
n';;;;
entendis;;;;
pas;;;;
	;;;;
puis;;;;
il;;;;
alla;;;;
allumer;;;;
les;;;;
bougies;;;;
et;;;;
mettre;;;;
sur;;;;
la;;;;
table;;;;
une;;;;
grande;;;;
serviette;;;;
blanche;;;;
.;;;;
En;;;;
moi;;;;
-;;;;
meme;;;;
je;;;;
me;;;;
disais;;;;
:;;;;
Pourquoi;;;;
met;;;;
-il;;;;
le;;;;
couvert;;;;
?;;;;
...;;;;
Est;;;;
-ce;;;;
que;;;;
nous;;;;
allons;;;;
diner;;;;
?;;;;
...;;;;
mais;;;;
je;;;;
n';;;;
ai;;;;
pas;;;;
faimln;;;;
La;;;;
nuit;;;;
tombait;;;;
.;;;;
Dehors;;;;
,;;;;
dans;;;;
le;;;;
jardin;;;;
,;;;;
des;;;;
personnes;;;;
de;;;;
l';;;;
h0tel;;;;
se;;;;
faisaient;;;;
des;;;;
signes;;;;
en;;;;
regardant;;;;
nos;;;;
fenetres;;;;
.;;;;
Jacques;;;;
et;;;;
Pierrotte;;;;
causaient;;;;
toujours;;;;
.;;;;
De;;;;
temps;;;;
en;;;;
temps;;;;
,;;;;
j';;;;
entendais;;;;
le;;;;
Cevenol;;;;
dire;;;;
avec;;;;
sa;;;;
grosse;;;;
voix;;;;
pleine;;;;
de;;;;
larmes;;;;
:;;;;
Oui;;;;
,;;;;
monsieur;;;;
